barrio_name,num_sale,total_area_for_sale,mean_price,median_price,max_price,min_price,mean_price_m2,median_price_m2,max_price_m2,min_price_m2,mean_m2_price_with_elevator,mean_m2_price_with_terrace,mean_m2_price_with_attic,mean_m2_price_with_parking,mean_m2_price_with_furnished,frecuent_room_num,frecuent_area
Esquerra Alta de l´Eixample,744,81439,612826,500000,5250000,165000,5517,5357,16931,2777,5544,6093,6744,6222,5713,3,80
Poblenou,385,35378,479670,400000,1995000,150000,5129,4831,14777,2410,5387,5952,7527,5919,5196,3,50
Sagrada Família,582,52184,374589,340000,4850000,49000,4272,4086,37307,662,4228,4664,4869,4079,4655,3,80
La Marina-Port,40,3058,238782,230000,502000,69000,3154,3175,5325,1437,3327,3667,3243,3440,1437,3,70
Sarrià,247,47976,1291753,920000,7450000,245000,67049,6269,7450000,2631,7194,7395,7220,66176,5604,3,60
Sant Gervasi - Galvany,774,130704,1001933,800000,6000000,138000,5939,5510,12385,2437,5949,6225,7036,6433,6084,5,160
Dreta de l´Eixample,1139,166723,1013395,850000,6000000,55000,6928,6012,25000,458,7034,7885,8979,7753,7647,3,100
Tres Torres,176,40237,1428818,1310000,4500000,135000,6306,6057,13235,3700,6210,6353,7984,6376,5995,5,280
La Verneda - La Pau,230,17461,196273,187500,402100,95000,3383,2500,170000,1555,2656,2692,2750,2829,2585,3,70
Hostafrancs,123,9051,274194,245000,700000,80000,3766,3579,7526,1916,3925,4367,4086,3764,3596,3,50
Sant Gervasi - Bonanova,297,67763,1368465,949900,7400000,168900,15793,5434,2950000,3252,17860,23917,7508,27753,6871,5,180
Esquerra Baixa de l´Eixample,598,65623,639425,469500,1900000,85000,5540,4666,13636,1145,5659,6700,7454,5391,5493,2,140
El Clot,222,18446,328559,299000,1750000,95000,4024,4047,7236,1529,4123,4568,4292,4775,3600,2,60
Camp d´en Grassot - Gràcia N.,263,24454,408910,349000,1695000,105000,4559,4333,8211,2234,4669,5146,4741,5616,4609,3,70
Sant Ramon - Maternitat,192,18425,420515,360500,1750000,55000,4316,4010,15476,1571,4338,4659,4762,5273,4476,4,80
Sant Antoni,348,34202,418906,395000,1700000,110000,4334,4259,7725,1678,4310,4446,5003,4288,4876,3,80
Putget - Farró,309,43637,662360,598250,3950000,135000,4988,4411,42183,2314,5129,5236,6003,5095,4347,3,90
Glòries El Parc,125,12142,420653,405000,850000,175000,4514,4346,8866,1409,4574,4800,5353,4717,4359,3,70
Sant Andreu,200,18014,303659,257500,1200000,43000,3561,3272,33000,1776,3653,3879,3813,3713,3134,3,70
Can Baró,63,5780,276658,235000,1100000,59900,3039,2986,5195,965,3273,3268,4033,3490,3686,3,70
Vallvidrera - Tibidabo - Les Planes,82,28688,1391830,1200000,6500000,139000,4230,4119,12922,511,4401,4182,4272,3947,3852,6,480
Porta,174,12551,214885,209000,445000,115358,3042,3074,5192,1063,3232,3191,3621,3702,2823,3,60
Font d´en Fargas,66,8484,429954,345500,1470000,58000,3696,3218,7377,335,4398,3930,4908,3614,3065,3,50
Gòtic,708,83053,605486,504500,2670000,100000,5321,4656,23529,1680,6122,5765,6150,5943,5021,2,80
Fort Pienc,253,22992,427162,350000,1269000,110000,4710,4662,8470,1947,4726,5194,5446,4695,4433,3,60
Vilapicina - Torre Llobeta,169,13535,235378,229000,799000,59000,2974,2851,5416,1636,3016,3266,3395,2809,3045,3,80
Camp de l´Arpa,405,33141,321858,290000,2480000,79000,3969,3870,8666,837,4078,4311,4900,4306,3639,3,70
Poble Sec,535,38410,269575,248000,850000,75000,3847,3768,8320,996,3961,3995,4342,3383,4238,3,50
Vila de Gràcia,491,50785,496741,398000,5700000,120000,4831,4706,10757,1873,4846,5024,5171,5131,5055,2,80
Les Corts,363,36596,526401,440000,1600000,80000,5231,4666,13913,2666,5267,6004,7528,6498,4846,3,70
Congrés - Indians,124,10537,279218,256500,606000,145000,3415,3146,6265,1343,3537,4005,4602,3625,3256,3,80
Provençals del Poblenou,177,15253,303773,240000,1029000,120000,3465,3186,9226,1328,3492,4355,4666,4702,3513,3,70
Navas,114,9899,311873,292500,795000,115000,3717,3477,7100,1742,3801,4304,4499,4355,3415,3,80
Sants,404,34448,305518,280000,2200000,65000,3732,3696,11000,1034,3897,4075,4333,4114,3910,3,60
Guinardó,306,27529,298512,270000,1498000,75000,3406,3258,7166,795,3517,3842,3906,3874,3666,3,60
Raval,1105,78467,265966,200000,2600000,65000,6034,3437,2600000,767,4309,15158,4368,3917,3932,1,60
Prosperitat,199,13893,173601,165000,350000,92000,2525,2442,4527,1303,2635,2844,2962,2599,2494,3,60
Roquetes,200,13537,136970,131250,360000,45000,2068,2044,4636,633,2359,2392,2547,1863,2191,3,50
Badal,229,20036,300337,249000,1080000,118000,3558,3358,6727,1633,3596,4012,4271,3492,4023,3,60
La Bordeta,132,9668,243197,225000,750000,85000,3319,3186,6052,1436,3348,3597,4130,3999,3649,3,70
Diagonal Mar - La Mar Bella,227,29282,1094733,985000,4150000,150000,15054,7400,1595000,2307,15749,18635,11384,20096,9697,3,140
Baix Guinardó,201,18959,376530,334000,1195000,80000,4084,4041,6781,1083,4136,4380,4657,4279,4290,3,70
Sant Genís dels Agudells,82,6359,236404,180000,810000,100000,3042,2598,5166,1408,3618,3946,4508,3626,2367,3,60
Ciutat Meridiana,133,9265,111952,110000,198000,69900,1715,1683,2500,159,1911,1704,1523,1648,1725,3,60
Carmel,315,22488,179415,159000,590000,54000,2610,2454,20571,714,3148,3019,3236,3704,2538,3,60
Trinitat Vella,114,8010,134442,125000,445000,50000,1908,1806,4944,833,2536,2071,2093,1901,1999,3,60
Besòs - Maresme,267,19512,205942,155000,1100000,60000,2654,2312,11956,1105,3050,3919,4876,4510,2619,3,60
Pedralbes,314,84151,1928792,985000,11500000,245000,54195,6123,7500000,3404,35537,6664,6875,57239,184836,5,160
Sant Martí,213,16893,231266,225000,440000,95000,2949,2857,5818,1833,2972,3267,5818,3828,2948,3,80
Verdun,146,10769,175477,148500,570000,85000,2446,2288,4422,1250,2608,2440,2789,2260,2607,3,60
Trinitat Nova,108,6992,138234,144950,289000,79000,2147,2134,4673,1173,2195,2078,2066,0,2522,3,70
La Salut,90,11308,555732,424300,1985000,104000,4512,4366,10000,2180,4259,5095,5593,5009,4044,3,90
Turó de la Peira - Can Peguera,188,12000,154213,141500,380000,60000,2399,2339,5294,1016,2419,2878,2782,0,2464,3,60
Vallcarca - Penitents,132,15016,486576,414361,2000000,69000,4451,4237,7778,726,4708,4780,5468,4643,4108,3,110
Taxonera,144,13160,268513,192500,1500000,63800,3011,2610,6261,946,3553,2977,2857,4060,2905,3,60
Vall d´Hebron,9,747,274444,285000,420000,145000,3323,3134,4842,2261,3559,3008,0,3202,0,2,70
La Sagrera,189,14894,269449,230000,595000,65000,3375,3142,6311,550,3416,4117,4201,4126,3553,3,70
La Marina-Montjuïc,256,20974,236184,217000,1075000,69000,2871,2796,8604,1285,2945,3078,3520,3465,3249,3,70
St. Pere - Sta. Caterina - El Born,695,65207,546902,430000,2500000,110000,5828,5172,18181,1328,6923,6697,7104,5698,5249,2,60
Horta,138,12819,269775,210000,1850000,65000,3064,2694,6666,1208,3183,3465,5389,3436,2475,3,70
Barceloneta,175,11133,319757,280000,830000,115000,5061,4696,10933,2521,5821,5981,5132,5790,5094,1,30
Bon Pastor,151,10903,175374,155000,465000,84384,2400,2380,4135,1178,2629,2693,2293,2770,2214,3,60
Font de la Guatlla,77,6787,322627,290000,749000,180000,3669,3376,6345,2083,3673,4062,4322,4029,3736,3,80
Torre Baró,27,3476,452975,157000,7450000,75000,277601,1666,7450000,117,932934,574787,0,932796,2556,3,110
La Guineueta,58,4974,245034,224500,380000,119000,2829,2834,4357,1776,2962,3358,3436,2593,2633,3,100
Canyelles,25,2392,201368,197700,299900,39000,2321,2418,3224,453,2283,2654,0,1888,2550,3,80
El Coll,79,7439,280600,249700,710000,90000,3005,2800,5483,946,3213,3431,3960,3957,2714,3,100
Montbau,31,2396,252412,215000,1200000,54000,3063,2661,10714,1993,2976,4498,0,3667,2658,3,70
Vila Olímpica,48,5994,671166,650000,2500000,245000,5384,5322,8153,3789,5283,5517,5358,5553,4960,3,150
Vallbona,7,1358,246428,250000,360000,115000,1548,1470,3214,297,3214,1271,0,1465,2440,3,170
